"","date","close"
"1",2024-01-02,2064.39990234375
"2",2024-01-03,2034.19995117188
"3",2024-01-04,2042.30004882812
"4",2024-01-05,2042.40002441406
"5",2024-01-08,2026.59997558594
"6",2024-01-09,2026.40002441406
"7",2024-01-10,2021.69995117188
"8",2024-01-11,2014.30004882812
"9",2024-01-12,2046.69995117188
"10",2024-01-16,2026
"11",2024-01-17,2002.59997558594
"12",2024-01-18,2018.59997558594
"13",2024-01-19,2026.5
"14",2024-01-22,2019.80004882812
"15",2024-01-23,2023.69995117188
"16",2024-01-24,2013.90002441406
"17",2024-01-25,2016.90002441406
"18",2024-01-26,2016.80004882812
"19",2024-01-29,2025.19995117188
"20",2024-01-30,2031.5
"21",2024-01-31,2048.39990234375
"22",2024-02-01,2053
"23",2024-02-02,2036.09997558594
"24",2024-02-05,2025.69995117188
"25",2024-02-06,2034.5
"26",2024-02-07,2035.19995117188
"27",2024-02-08,2032.19995117188
"28",2024-02-09,2023.30004882812
"29",2024-02-12,2018.19995117188
"30",2024-02-13,1992.90002441406
"31",2024-02-14,1990.30004882812
"32",2024-02-15,2002.09997558594
"33",2024-02-16,2011.5
"34",2024-02-20,2027.5
"35",2024-02-21,2022.30004882812
"36",2024-02-22,2019.69995117188
"37",2024-02-23,2038.59997558594
"38",2024-02-26,2028.5
"39",2024-02-27,2034
"40",2024-02-28,2033
"41",2024-02-29,2045.69995117188
"42",2024-03-01,2086.89990234375
"43",2024-03-04,2117.69995117188
"44",2024-03-05,2133.5
"45",2024-03-06,2150.30004882812
"46",2024-03-07,2158
"47",2024-03-08,2178.60009765625
"48",2024-03-11,2182.5
"49",2024-03-12,2160.39990234375
"50",2024-03-13,2175.39990234375
"51",2024-03-14,2163
"52",2024-03-15,2157.30004882812
"53",2024-03-18,2160.69995117188
"54",2024-03-19,2156.30004882812
"55",2024-03-20,2157.89990234375
"56",2024-03-21,2182.39990234375
"57",2024-03-22,2158.10009765625
"58",2024-03-25,2174.80004882812
"59",2024-03-26,2175.60009765625
"60",2024-03-27,2190.60009765625
"61",2024-03-28,2217.39990234375
"62",2024-04-01,2236.5
"63",2024-04-02,2261
"64",2024-04-03,2294.39990234375
"65",2024-04-04,2288.80004882812
"66",2024-04-05,2325.69995117188
"67",2024-04-08,2331.69995117188
"68",2024-04-09,2343.5
"69",2024-04-10,2329.60009765625
"70",2024-04-11,2354.80004882812
"71",2024-04-12,2356.19995117188
"72",2024-04-15,2365.80004882812
