Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2015,0.14,0.14,0.16,0.16,0.48,0.49,0.61,0.62
12/30/2015,0.08,0.08,0.21,0.21,0.46,0.47,0.60,0.61
12/29/2015,0.18,0.18,0.23,0.23,0.49,0.50,0.63,0.64
12/28/2015,0.12,0.12,0.23,0.23,0.50,0.51,0.63,0.64
12/24/2015,0.15,0.15,0.20,0.20,0.48,0.49,0.61,0.62
12/23/2015,0.19,0.19,0.20,0.20,0.46,0.47,0.62,0.63
12/22/2015,0.19,0.19,0.21,0.21,0.46,0.47,0.63,0.64
12/21/2015,0.13,0.13,0.24,0.24,0.50,0.51,0.62,0.63
12/18/2015,0.16,0.16,0.19,0.19,0.46,0.47,0.65,0.66
12/17/2015,0.18,0.18,0.23,0.23,0.47,0.48,0.67,0.68
12/16/2015,0.20,0.20,0.27,0.27,0.50,0.51,0.68,0.69
12/15/2015,0.21,0.21,0.25,0.25,0.53,0.54,0.67,0.68
12/14/2015,0.12,0.12,0.26,0.26,0.53,0.54,0.66,0.67
12/11/2015,0.15,0.15,0.22,0.22,0.51,0.52,0.66,0.67
12/10/2015,0.19,0.19,0.24,0.24,0.54,0.55,0.69,0.71
12/09/2015,0.19,0.19,0.26,0.26,0.52,0.53,0.70,0.72
12/08/2015,0.23,0.23,0.27,0.27,0.57,0.58,0.74,0.76
12/07/2015,0.20,0.20,0.29,0.30,0.56,0.57,0.64,0.65
12/04/2015,0.17,0.17,0.22,0.22,0.48,0.49,0.57,0.58
12/03/2015,0.18,0.18,0.21,0.21,0.44,0.45,0.54,0.55
12/02/2015,0.19,0.19,0.21,0.21,0.41,0.42,0.49,0.50
12/01/2015,0.19,0.19,0.21,0.21,0.41,0.42,0.48,0.49
11/30/2015,0.10,0.10,0.22,0.22,0.42,0.43,0.48,0.49
11/27/2015,0.13,0.13,0.17,0.17,0.37,0.38,0.47,0.48
11/25/2015,0.14,0.14,0.19,0.19,0.38,0.39,0.49,0.50
11/24/2015,0.13,0.13,0.16,0.16,0.36,0.37,0.49,0.50
11/23/2015,0.05,0.05,0.14,0.14,0.35,0.36,0.48,0.49
11/20/2015,0.05,0.05,0.11,0.11,0.30,0.31,0.47,0.48
11/19/2015,0.06,0.06,0.11,0.11,0.30,0.31,0.47,0.48
11/18/2015,0.07,0.07,0.12,0.12,0.31,0.32,0.47,0.48
11/17/2015,0.07,0.07,0.14,0.14,0.34,0.35,0.48,0.49
11/16/2015,0.04,0.04,0.15,0.15,0.33,0.34,0.48,0.49
11/13/2015,0.03,0.03,0.13,0.13,0.30,0.31,0.49,0.50
11/12/2015,0.08,0.08,0.14,0.14,0.34,0.35,0.50,0.51
11/10/2015,0.08,0.08,0.13,0.13,0.34,0.35,0.50,0.51
11/09/2015,0.05,0.05,0.14,0.14,0.34,0.35,0.43,0.44
11/06/2015,0.04,0.04,0.08,0.08,0.31,0.32,0.43,0.44
11/05/2015,0.04,0.04,0.05,0.05,0.27,0.27,0.39,0.40
11/04/2015,0.07,0.07,0.05,0.05,0.27,0.27,0.37,0.38
11/03/2015,0.07,0.07,0.06,0.06,0.26,0.26,0.36,0.37
11/02/2015,0.01,0.01,0.08,0.08,0.27,0.27,0.34,0.35
10/30/2015,0.01,0.01,0.08,0.08,0.22,0.22,0.32,0.33
10/29/2015,0.02,0.02,0.07,0.07,0.21,0.21,0.31,0.32
10/28/2015,0.03,0.03,0.04,0.04,0.21,0.21,0.31,0.32
10/27/2015,0.01,0.01,0.03,0.03,0.18,0.18,0.27,0.28
10/26/2015,0.01,0.01,0.02,0.02,0.16,0.16,0.23,0.23
10/23/2015,0.01,0.01,0.01,0.01,0.13,0.13,0.23,0.23
10/22/2015,0.02,0.02,0.00,0.00,0.11,0.11,0.22,0.22
10/21/2015,0.01,0.01,0.01,0.01,0.12,0.12,0.22,0.22
10/20/2015,0.08,0.08,0.02,0.02,0.12,0.12,0.22,0.22
10/19/2015,0.07,0.07,0.02,0.02,0.12,0.12,0.22,0.22
10/16/2015,0.03,0.03,0.01,0.01,0.07,0.07,0.22,0.22
10/15/2015,0.00,0.00,0.01,0.01,0.08,0.08,0.21,0.21
10/14/2015,0.00,0.00,0.00,0.00,0.08,0.08,0.21,0.21
10/13/2015,0.00,0.00,0.01,0.01,0.08,0.08,0.24,0.24
10/09/2015,0.01,0.01,0.01,0.01,0.07,0.07,0.25,0.25
10/08/2015,-0.01,-0.01,-0.01,-0.01,0.07,0.07,0.24,0.24
10/07/2015,0.00,0.00,0.00,0.00,0.08,0.08,0.24,0.24
10/06/2015,-0.01,-0.01,0.00,0.00,0.07,0.07,0.23,0.23
10/05/2015,-0.02,-0.02,0.01,0.01,0.06,0.06,0.24,0.24
10/02/2015,-0.02,-0.02,0.00,0.00,0.06,0.06,0.23,0.23
10/01/2015,-0.01,-0.01,-0.02,-0.02,0.08,0.08,0.29,0.30
09/30/2015,-0.02,-0.02,-0.01,-0.01,0.08,0.08,0.31,0.32
09/29/2015,-0.01,-0.01,0.01,0.01,0.09,0.09,0.31,0.32
09/28/2015,-0.02,-0.02,0.01,0.01,0.10,0.10,0.32,0.33
09/25/2015,-0.02,-0.02,-0.01,-0.01,0.07,0.07,0.33,0.34
09/24/2015,-0.03,-0.03,0.01,0.01,0.09,0.09,0.31,0.32
09/23/2015,-0.03,-0.03,0.01,0.01,0.09,0.09,0.33,0.34
09/22/2015,-0.02,-0.02,-0.01,-0.01,0.10,0.10,0.34,0.35
09/21/2015,-0.01,-0.01,0.01,0.01,0.11,0.11,0.35,0.36
09/18/2015,-0.01,-0.01,-0.01,-0.01,0.10,0.10,0.34,0.35
09/17/2015,-0.01,-0.01,0.01,0.01,0.16,0.16,0.38,0.39
09/16/2015,-0.01,-0.01,0.06,0.06,0.24,0.24,0.45,0.46
09/15/2015,0.00,0.00,0.07,0.07,0.27,0.27,0.46,0.47
09/14/2015,0.02,0.02,0.07,0.07,0.26,0.26,0.37,0.38
09/11/2015,0.04,0.04,0.04,0.04,0.24,0.24,0.37,0.38
09/10/2015,0.02,0.02,0.02,0.02,0.25,0.25,0.36,0.37
09/09/2015,0.02,0.02,0.03,0.03,0.26,0.26,0.36,0.37
09/08/2015,0.02,0.02,0.06,0.06,0.27,0.27,0.36,0.37
09/04/2015,0.02,0.02,0.02,0.02,0.23,0.23,0.34,0.35
09/03/2015,0.02,0.02,0.02,0.02,0.24,0.24,0.34,0.35
09/02/2015,0.01,0.01,0.03,0.03,0.25,0.25,0.35,0.36
09/01/2015,0.01,0.01,0.03,0.03,0.26,0.26,0.37,0.38
08/31/2015,0.00,0.00,0.08,0.08,0.27,0.27,0.37,0.38
08/28/2015,0.02,0.02,0.06,0.06,0.24,0.24,0.36,0.37
08/27/2015,0.02,0.02,0.06,0.06,0.21,0.21,0.35,0.36
08/26/2015,0.03,0.03,0.06,0.06,0.20,0.20,0.34,0.35
08/25/2015,0.04,0.04,0.07,0.07,0.19,0.19,0.35,0.36
08/24/2015,0.02,0.02,0.06,0.06,0.20,0.20,0.32,0.33
08/21/2015,0.02,0.02,0.03,0.03,0.20,0.20,0.35,0.36
08/20/2015,0.01,0.01,0.02,0.02,0.21,0.21,0.38,0.39
08/19/2015,0.05,0.05,0.05,0.05,0.22,0.22,0.38,0.39
08/18/2015,0.05,0.05,0.07,0.07,0.25,0.25,0.41,0.42
08/17/2015,0.02,0.02,0.10,0.10,0.24,0.24,0.37,0.38
08/14/2015,0.04,0.04,0.09,0.09,0.24,0.24,0.38,0.39
08/13/2015,0.06,0.06,0.10,0.10,0.23,0.23,0.37,0.38
