Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2014,0.03,0.03,0.04,0.04,0.12,0.12,0.22,0.22
12/30/2014,0.03,0.03,0.03,0.03,0.12,0.12,0.20,0.20
12/29/2014,0.01,0.01,0.03,0.03,0.12,0.12,0.22,0.22
12/26/2014,0.01,0.01,0.01,0.01,0.10,0.10,0.24,0.24
12/24/2014,0.01,0.01,0.01,0.01,0.14,0.14,0.24,0.24
12/23/2014,0.02,0.02,0.03,0.03,0.14,0.14,0.24,0.24
12/22/2014,0.01,0.01,0.05,0.05,0.16,0.16,0.26,0.26
12/19/2014,0.01,0.01,0.04,0.04,0.11,0.11,0.25,0.25
12/18/2014,0.04,0.04,0.04,0.04,0.12,0.12,0.24,0.24
12/17/2014,0.03,0.03,0.03,0.03,0.11,0.11,0.22,0.22
12/16/2014,0.03,0.03,0.03,0.03,0.11,0.11,0.20,0.20
12/15/2014,0.02,0.02,0.04,0.04,0.11,0.11,0.21,0.21
12/12/2014,0.02,0.02,0.02,0.02,0.09,0.09,0.19,0.19
12/11/2014,0.02,0.02,0.03,0.03,0.09,0.09,0.21,0.21
12/10/2014,0.05,0.05,0.03,0.03,0.10,0.10,0.21,0.21
12/09/2014,0.05,0.05,0.04,0.04,0.11,0.11,0.23,0.23
12/08/2014,0.03,0.03,0.03,0.03,0.10,0.10,0.15,0.15
12/05/2014,0.02,0.02,0.02,0.02,0.08,0.08,0.15,0.15
12/04/2014,0.03,0.03,0.02,0.02,0.08,0.08,0.12,0.12
12/03/2014,0.03,0.03,0.01,0.01,0.07,0.07,0.12,0.12
12/02/2014,0.04,0.04,0.03,0.03,0.08,0.08,0.12,0.12
12/01/2014,0.01,0.01,0.03,0.03,0.08,0.08,0.12,0.12
11/28/2014,0.04,0.04,0.02,0.02,0.07,0.07,0.12,0.12
11/26/2014,0.06,0.06,0.02,0.02,0.07,0.07,0.13,0.13
11/25/2014,0.06,0.06,0.02,0.02,0.07,0.07,0.13,0.13
11/24/2014,0.04,0.04,0.02,0.02,0.08,0.08,0.13,0.13
11/21/2014,0.04,0.04,0.01,0.01,0.07,0.07,0.13,0.13
11/20/2014,0.04,0.04,0.02,0.02,0.07,0.07,0.13,0.13
11/19/2014,0.04,0.04,0.01,0.01,0.07,0.07,0.14,0.14
11/18/2014,0.04,0.04,0.02,0.02,0.07,0.07,0.13,0.13
11/17/2014,0.02,0.02,0.03,0.03,0.07,0.07,0.14,0.14
11/14/2014,0.04,0.04,0.02,0.02,0.07,0.07,0.15,0.15
11/13/2014,0.05,0.05,0.02,0.02,0.08,0.08,0.15,0.15
11/12/2014,0.05,0.05,0.02,0.02,0.07,0.07,0.14,0.14
11/10/2014,0.04,0.04,0.02,0.02,0.07,0.07,0.10,0.10
11/07/2014,0.04,0.04,0.03,0.03,0.06,0.06,0.11,0.11
